"symbol","yahoo_symbol","name","aliases"
"CROMPTON","CROMPTON.NS","Crompton Greaves Consumer Electricals Ltd.","crompton|crompton greaves consumer electricals ltd.|crompton greaves consumer electricals"
"CUMMINSIND","CUMMINSIND.NS","Cummins India Ltd.","cumminsind|cummins india ltd.|cummins"
"CYIENT","CYIENT.NS","Cyient Ltd.","cyient|cyient ltd."
"DCMSHRIRAM","DCMSHRIRAM.NS","DCM Shriram Ltd.","dcmshriram|dcm shriram ltd.|dcm shriram"
"DLF","DLF.NS","DLF Ltd.","dlf|dlf ltd."
"DOMS","DOMS.NS","DOMS Industries Ltd.","doms|doms industries ltd."
"DABUR","DABUR.NS","Dabur India Ltd.","dabur|dabur india ltd."
"DALBHARAT","DALBHARAT.NS","Dalmia Bharat Ltd.","dalbharat|dalmia bharat ltd.|dalmia bharat"
"DATAPATTNS","DATAPATTNS.NS","Data Patterns (India) Ltd.","datapattns|data patterns (india) ltd.|data patterns"
"DEEPAKFERT","DEEPAKFERT.NS","Deepak Fertilisers & Petrochemicals Corp. Ltd.","deepakfert|deepak fertilisers & petrochemicals corp. ltd.|deepak fertilisers & petrochemicals"
"DEEPAKNTR","DEEPAKNTR.NS","Deepak Nitrite Ltd.","deepakntr|deepak nitrite ltd.|deepak nitrite"
"DELHIVERY","DELHIVERY.NS","Delhivery Ltd.","delhivery|delhivery ltd."
"DEVYANI","DEVYANI.NS","Devyani International Ltd.","devyani|devyani international ltd.|devyani international"
"DIVISLAB","DIVISLAB.NS","Divi's Laboratories Ltd.","divislab|divi's laboratories ltd.|divi s laboratories|divis lab|divi's laboratories"
"DIXON","DIXON.NS","Dixon Technologies (India) Ltd.","dixon|dixon technologies (india) ltd.|dixon technologies"
"LALPATHLAB","LALPATHLAB.NS","Dr. Lal Path Labs Ltd.","lalpathlab|dr. lal path labs ltd.|dr lal path labs"
"DRREDDY","DRREDDY.NS","Dr. Reddy's Laboratories Ltd.","drreddy|dr. reddy's laboratories ltd.|dr reddy s laboratories|dr reddy|dr reddy's"
"EIDPARRY","EIDPARRY.NS","E.I.D. Parry (India) Ltd.","eidparry|e.i.d. parry (india) ltd.|e i d parry"
"EIHOTEL","EIHOTEL.NS","EIH Ltd.","eihotel|eih ltd.|eih"
"EICHERMOT","EICHERMOT.NS","Eicher Motors Ltd.","eichermot|eicher motors ltd.|eicher motors|eicher"
"ELECON","ELECON.NS","Elecon Engineering Co. Ltd.","elecon|elecon engineering co. ltd.|elecon engineering"
"ELGIEQUIP","ELGIEQUIP.NS","Elgi Equipments Ltd.","elgiequip|elgi equipments ltd.|elgi equipments"
"EMAMILTD","EMAMILTD.NS","Emami Ltd.","emamiltd|emami ltd.|emami"
"EMCURE","EMCURE.NS","Emcure Pharmaceuticals Ltd.","emcure|emcure pharmaceuticals ltd.|emcure pharmaceuticals"
"EMMVEE","EMMVEE.NS","Emmvee Photovoltaic Power Ltd.","emmvee|emmvee photovoltaic power ltd.|emmvee photovoltaic power"
"ENDURANCE","ENDURANCE.NS","Endurance Technologies Ltd.","endurance|endurance technologies ltd.|endurance technologies"
"ENGINERSIN","ENGINERSIN.NS","Engineers India Ltd.","enginersin|engineers india ltd.|engineers"
